,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
1288,1,2806,Privada sem fins lucrativos,Sudeste,São Paulo,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
1289,3,2808,,,,,,,,,,,,,
1290,9,2811,Privada sem fins lucrativos,Sudeste,São Paulo,0.0,0.0,1.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
1291,7,2814,Privada com fins lucrativos,Sudeste,São Paulo,3.0,1.0,6.0,3.0,0.0,5.142857142857143,5.142857142857143,6.0,3.4285714285714284,3.4285714285714284
1292,2,2821,,,,,,,,,,,,,
1293,4,2826,,,,,,,,,,,,,
1294,3,2827,Privada com fins lucrativos,Nordeste,Piauí,8.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.3333333333333335,2.0,1.0,1.0
1295,2,2831,Privada sem fins lucrativos,Sul,Paraná,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5
1296,6,2832,Privada com fins lucrativos,Nordeste,Piauí,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0
1297,86,2835,Privada com fins lucrativos,Nordeste,Pernambuco,13.0,3.0,3.0,1.0,0.0,0.0,0.05813953488372093,0.26744186046511625,0.0,0.0
1298,2,2836,,,,,,,,,,,,,
1299,1,2841,,,,,,,,,,,,,
1300,5,2843,Privada com fins lucrativos,Sudeste,Minas Gerais,3.0,3.0,0.0,8.0,0.0,4.0,4.0,4.0,2.0,2.0
1301,3,2845,,,,,,,,,,,,,
1302,1,2849,Privada sem fins lucrativos,Sudeste,Minas Gerais,1.0,0.0,5.0,0.0,0.0,6.0,7.0,5.0,4.0,4.0
1303,13,2855,Privada com fins lucrativos,Sul,Rio Grande do Sul,1.0,2.0,1.0,0.0,0.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.6923076923076923,0.6923076923076923
1304,1,2859,,,,,,,,,,,,,
1305,3,2870,,,,,,,,,,,,,
1306,3,2879,,,,,,,,,,,,,
1307,7,2885,,,,,,,,,,,,,
1308,8,2886,Privada sem fins lucrativos,Sudeste,São Paulo,0.0,1.0,1.0,0.0,0.0,1.5,2.0,1.75,1.0,1.0
1309,1,2891,,,,,,,,,,,,,
1310,2,2895,,,,,,,,,,,,,
1311,11,2896,,,,,,,,,,,,,
1312,6,2903,,,,,,,,,,,,,
1313,6,2904,,,,,,,,,,,,,
1314,13,2908,,,,,,,,,,,,,
1315,3,2909,,,,,,,,,,,,,
1316,10,2910,,,,,,,,,,,,,
1317,17,2911,,,,,,,,,,,,,
1318,19,2915,Privada sem fins lucrativos,Sudeste,Minas Gerais,1.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.47368421052631576,0.42105263157894735,0.21052631578947367,0.21052631578947367
1319,6,2917,,,,,,,,,,,,,
1320,9,2918,Privada com fins lucrativos,Norte,Pará,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.4444444444444444
1321,1,2927,,,,,,,,,,,,,
1322,13,2935,Privada com fins lucrativos,Sudeste,Minas Gerais,1.0,4.0,1.0,3.0,1.0,2.3076923076923075,2.3076923076923075,2.3076923076923075,1.5384615384615385,1.5384615384615385
1323,25,2944,Privada com fins lucrativos,Nordeste,Bahia,18.0,8.0,29.0,12.0,0.0,3.84,3.84,5.12,2.56,2.56
1324,6,2949,,,,,,,,,,,,,
1325,102,2950,Privada com fins lucrativos,Sul,Rio Grande do Sul,0.0,3.0,0.0,0.0,0.0,0.17647058823529413,0.2647058823529412,0.23529411764705882,0.11764705882352941,0.11764705882352941
1326,16,2961,,,,,,,,,,,,,
1327,7,2964,,,,,,,,,,,,,
1328,1,2969,,,,,,,,,,,,,
1329,8,2971,Privada com fins lucrativos,Sudeste,São Paulo,1.0,0.0,1.0,0.0,0.0,1.0,1.125,0.875,0.625,0.625
1330,9,2973,Privada com fins lucrativos,Centro-Oeste,Mato Grosso,2.0,2.0,8.0,1.0,0.0,4.666666666666667,4.666666666666667,6.222222222222222,3.111111111111111,3.111111111111111
1331,5,2974,Privada com fins lucrativos,Centro-Oeste,Mato Grosso,5.0,3.0,12.0,5.0,0.0,4.8,4.8,6.4,3.2,3.2
1332,2,3004,,,,,,,,,,,,,
1333,10,3008,Privada com fins lucrativos,Sudeste,São Paulo,0.0,0.0,2.0,0.0,0.0,0.4,0.2,0.2,0.2,0.2
1334,3,3012,,,,,,,,,,,,,
1335,11,3020,,,,,,,,,,,,,
1336,9,3029,,,,,,,,,,,,,
1337,27,3034,Privada com fins lucrativos,Nordeste,Bahia,27.0,10.0,25.0,13.0,0.0,4.0,4.0,5.333333333333333,2.6666666666666665,2.6666666666666665
1338,1,3039,Privada sem fins lucrativos,Sudeste,Espírito Santo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1339,11,3042,,,,,,,,,,,,,
1340,2,3051,,,,,,,,,,,,,
1341,40,3099,Privada com fins lucrativos,Nordeste,Paraíba,3.0,0.0,5.0,1.0,0.0,1.05,1.575,1.4,0.7,0.7
1342,1,3146,,,,,,,,,,,,,
1343,4,3148,,,,,,,,,,,,,
1344,24,3149,Privada com fins lucrativos,Sudeste,Minas Gerais,23.0,9.0,27.0,14.0,0.0,4.0,4.0,5.333333333333333,2.6666666666666665,2.6666666666666665
1345,59,3151,Privada sem fins lucrativos,Sul,Santa Catarina,25.0,13.0,21.0,7.0,2.0,2.847457627118644,4.254237288135593,3.7966101694915255,1.8983050847457628,1.8983050847457628
1346,7,3155,,,,,,,,,,,,,
1347,1,3157,,,,,,,,,,,,,
1348,4,3159,Privada sem fins lucrativos,Sul,Santa Catarina,1.0,2.0,0.0,1.0,0.0,2.5,2.0,2.75,1.5,1.5
1349,25,3160,Pública Federal,Nordeste,Alagoas,2.0,2.0,2.0,0.0,2.0,0.08,0.24,0.32,0.04,0.04
1350,16,3161,Pública Federal,Nordeste,Pernambuco,17.0,3.0,9.0,1.0,0.0,0.5,0.5625,1.9375,0.4375,0.4375
1351,55,3162,Pública Federal,Sul,Santa Catarina,23.0,11.0,4.0,1.0,1.0,0.5454545454545454,0.5454545454545454,0.7818181818181819,0.34545454545454546,0.34545454545454546
1352,20,3163,Pública Federal,Sudeste,Rio de Janeiro,9.0,6.0,8.0,6.0,1.0,0.75,0.75,2.05,0.45,0.45
1353,61,3164,Pública Federal,Centro-Oeste,Mato Grosso,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1354,28,3165,Pública Federal,Sudeste,Minas Gerais,16.0,17.0,31.0,6.0,16.0,1.4642857142857142,1.4285714285714286,2.0,0.8928571428571429,0.8928571428571429
1355,9,3170,Privada com fins lucrativos,Sul,Santa Catarina,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.8888888888888888,0.4444444444444444,0.4444444444444444
1356,3,3171,Privada sem fins lucrativos,Sul,Rio Grande do Sul,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333
1357,247,3172,Pública Estadual,Norte,Amazonas,3.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1358,1,3177,,,,,,,,,,,,,
1359,1,3180,,,,,,,,,,,,,
1360,17,3182,,,,,,,,,,,,,
1361,18,3183,Pública Federal,Nordeste,Sergipe,11.0,4.0,4.0,0.0,1.0,1.2777777777777777,1.3888888888888888,1.6111111111111112,0.7777777777777778,0.7777777777777778
1362,14,3184,Pública Federal,Norte,Roraima,9.0,4.0,4.0,1.0,0.0,0.2857142857142857,0.2857142857142857,1.0714285714285714,0.14285714285714285,0.14285714285714285
1363,2,3186,Privada com fins lucrativos,Sudeste,São Paulo,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
1364,45,3188,Pública Federal,Sudeste,Minas Gerais,32.0,126.0,15.0,4.0,0.0,1.4666666666666666,1.2666666666666666,1.7555555555555555,0.9333333333333333,0.9333333333333333
1365,54,3189,Pública Federal,Sudeste,Minas Gerais,5.0,2.0,8.0,5.0,0.0,0.7407407407407407,0.9259259259259259,0.9444444444444444,0.48148148148148145,0.48148148148148145
1366,2,3192,Privada com fins lucrativos,Nordeste,Paraíba,0.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,2.0,2.0
1367,15,3193,Privada com fins lucrativos,Sul,Paraná,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
1368,11,3194,Privada com fins lucrativos,Sudeste,Minas Gerais,2.0,0.0,1.0,2.0,0.0,0.8181818181818182,0.5454545454545454,1.0909090909090908,0.5454545454545454,0.5454545454545454
1369,1,3203,,,,,,,,,,,,,
1370,12,3204,,,,,,,,,,,,,
1371,18,3205,,,,,,,,,,,,,
1372,2,3223,Pública Estadual,Centro-Oeste,Distrito Federal,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1373,1,3230,Privada sem fins lucrativos,Nordeste,Bahia,2.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,4.0,4.0
1374,3,3232,Privada com fins lucrativos,Sul,Paraná,0.0,0.0,0.0,1.0,0.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.0
1375,10,3252,Privada com fins lucrativos,Centro-Oeste,Goiás,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.1
1376,14,3268,,,,,,,,,,,,,
1377,3,3270,,,,,,,,,,,,,
1378,34,3279,Pública Federal,Sudeste,Minas Gerais,2.0,6.0,5.0,2.0,0.0,0.35294117647058826,0.38235294117647056,0.4411764705882353,0.2647058823529412,0.2647058823529412
1379,12,3285,,,,,,,,,,,,,
1380,24,3294,,,,,,,,,,,,,
1381,6,3295,Privada sem fins lucrativos,Sul,Santa Catarina,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.3333333333333333,0.6666666666666666,0.6666666666666666
1382,1,3299,,,,,,,,,,,,,
1383,2,3302,,,,,,,,,,,,,
1384,16,3303,Privada sem fins lucrativos,Centro-Oeste,Mato Grosso,4.0,4.0,4.0,88.0,0.0,3.75,5.625,5.0,2.5,2.5
1385,20,3304,Privada com fins lucrativos,Nordeste,Paraíba,5.0,1.0,5.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0
1386,2,3306,,,,,,,,,,,,,
1387,5,3308,Privada sem fins lucrativos,Sudeste,São Paulo,1.0,0.0,0.0,0.0,0.0,0.6,1.0,1.2,0.4,0.4
1388,5,3311,,,,,,,,,,,,,
1389,7,3319,Privada com fins lucrativos,Centro-Oeste,Goiás,1.0,0.0,2.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.2857142857142857
1390,8,3323,,,,,,,,,,,,,
