CODIGO_IES;NOME_IES;SIGLA_IES;TIPO_CATEGORIA_ADM;TIPO_ORG_ACADEMICA;REGIAO;UF;CODIGO_MUNICIPIO
14342;FACULDADE REDENTOR DE CAMPOS;FACREDENTOR;Privada sem fins lucrativos;Faculdade;Sudeste;Rio de Janeiro;3301009
2571;CENTRO UNIVERSITÁRIO REDENTOR;FACREDENTOR;Privada sem fins lucrativos;Centro Universitário;Sudeste;Rio de Janeiro;3302205
20090;FACULDADE REDENTOR METROPOLITANA;FACREDENTOR;Privada sem fins lucrativos;Faculdade;Sudeste;Rio de Janeiro;3304144
17933;FACULDADE REDENTOR DE PARAÍBA DO SUL;FACREDENTOR;Privada sem fins lucrativos;Faculdade;Sudeste;Rio de Janeiro;3303708
2572;FACULDADE REGIONAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE CANDEIAS;FAC;Privada com fins lucrativos;Faculdade;Nordeste;Bahia;2906501
2573;FACULDADE TEOLÓGICA SUL AMERICANA;FTSA;Privada sem fins lucrativos;Faculdade;Sul;Paraná;4113700
22197;FACULDADE ATENAS PASSOS;;Privada com fins lucrativos;Faculdade;Sudeste;Minas Gerais;3147907
22194;FACULDADE ATENAS SETE LAGOAS;;Privada com fins lucrativos;Faculdade;Sudeste;Minas Gerais;3167202
2579;CENTRO UNIVERSITÁRIO ATENAS;UniAtenas;Privada com fins lucrativos;Centro Universitário;Sudeste;Minas Gerais;3147006
2581;FACULDADE SÃO SALVADOR;FSS;Privada com fins lucrativos;Faculdade;Nordeste;Bahia;2927408
2582;FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANÁ;UCP;Privada sem fins lucrativos;Faculdade;Sul;Paraná;4119608
2593;FACULDADE DE JUAZEIRO DO NORTE;FJN;Privada com fins lucrativos;Faculdade;Nordeste;Ceará;2307304
2616;FACULDADE SANTO ANTÔNIO DE PÁDUA;FASAP;Privada com fins lucrativos;Faculdade;Sudeste;Rio de Janeiro;3304706
2617;FACULDADE SÃO BENTO DO RIO DE JANEIRO;FSB/RJ;Privada sem fins lucrativos;Faculdade;Sudeste;Rio de Janeiro;3304557
2620;FACULDADE DE AMPÉRE;FAMPER;Privada com fins lucrativos;Faculdade;Sul;Paraná;4101002
2623;FACULDADE DO TAPAJÓS;FAT;Privada sem fins lucrativos;Faculdade;Norte;Pará;1503606
2629;AJES - FACULDADE DO VALE DO JURUENA;AJES;Privada sem fins lucrativos;Faculdade;Centro-Oeste;Mato Grosso;5105150
2636;FACULDADE DINÂMICA DO VALE DO PIRANGA;FADIP;Privada com fins lucrativos;Faculdade;Sudeste;Minas Gerais;3152105
2642;FACULDADE SÃO VICENTE;FASVIPA;Privada sem fins lucrativos;Faculdade;Nordeste;Alagoas;2706406
2647;FACULDADE INTEGRADA DE SANTA MARIA;FISMA;Privada com fins lucrativos;Faculdade;Sul;Rio Grande do Sul;4316907
2652;FACULDADE UNIDA DE VITÓRIA;FACULDADE UNIDA;Privada com fins lucrativos;Faculdade;Sudeste;Espírito Santo;3205309
2677;INSTITUTO SUPERIOR DE EDUCAÇÃO SÃO JUDAS TADEU;ISESJT;Privada com fins lucrativos;Faculdade;Nordeste;Piauí;2203909
2687;FACULDADE DOM ALBERTO;FDA;Privada com fins lucrativos;Faculdade;Sul;Rio Grande do Sul;4316808
12848;FACULDADE DE TECNOLOGIA SENAC MINAS - UNIDADE BARBACENA;;Privada sem fins lucrativos;Faculdade;Sudeste;Minas Gerais;3105608
12772;FACULDADE DE TECNOLOGIA SENAC MINAS - UNIDADE BELO HORIZONTE;FTS;Privada sem fins lucrativos;Faculdade;Sudeste;Minas Gerais;3106200
2703;FACULDADE SENAC MINAS;FSM;Privada sem fins lucrativos;Faculdade;Sudeste;Minas Gerais;3118601
5387;FACULDADE IMPACTA DE TECNOLOGIA;FIT;Privada sem fins lucrativos;Faculdade;Sudeste;São Paulo;3550308
2724;INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANHÃO;IESMA;Privada com fins lucrativos;Faculdade;Nordeste;Maranhão;2105302
1605;FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANOVA;FANOVA;Privada sem fins lucrativos;Faculdade;Centro-Oeste;Mato Grosso do Sul;5006200
2744;INSTITUTO SUPERIOR DE EDUCAÇÃO VERA CRUZ;ISE VERA CRUZ;Privada sem fins lucrativos;Faculdade;Sudeste;São Paulo;3550308
2766;FACULDADE EMPRESARIAL DE CHAPECÓ;FAEM;Privada com fins lucrativos;Faculdade;Sul;Santa Catarina;4204202
2771;CENTRO DE ENSINO SUPERIOR DE ILHÉUS;CESUPI;Privada com fins lucrativos;Faculdade;Nordeste;Bahia;2913606
2787;FACULDADES PEQUENO PRÍNCIPE;FPP;Privada sem fins lucrativos;Faculdade;Sul;Paraná;4106902
2793;FACULDADE UBS;FACULDADE UBS;Privada com fins lucrativos;Faculdade;Sudeste;São Paulo;3550308
2796;FACULDADE DE IPORÁ;FAI;Privada com fins lucrativos;Faculdade;Centro-Oeste;Goiás;5210208
2805;FACULDADE MODELO;FACIMOD;Privada com fins lucrativos;Faculdade;Sul;Paraná;4106902
2806;FACULDADE EVANGÉLICA DE SÃO PAULO;;Privada sem fins lucrativos;Faculdade;Sudeste;São Paulo;3550308
2808;FACULDADES ITECNE DE CASCAVEL;ITECNE;Privada com fins lucrativos;Faculdade;Sul;Paraná;4104808
2811;FACULDADE PAULUS DE TECNOLOGIA E COMUNICAÇÃO;FAPCOM;Privada sem fins lucrativos;Faculdade;Sudeste;São Paulo;3550308
2814;FACULDADE SÃO SEBASTIÃO;;Privada com fins lucrativos;Faculdade;Sudeste;São Paulo;3550704
2826;FACULDADE NOSSA SENHORA DE FÁTIMA;FACULDADE FÁTIMA;Privada sem fins lucrativos;Faculdade;Sul;Rio Grande do Sul;4305108
14717;FACULDADE UNINASSAU CARUARU;;Privada com fins lucrativos;Faculdade;Nordeste;Pernambuco;2604106
14321;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;Centro Universitário;Nordeste;Ceará;2304400
18211;FACULDADE UNINASSAU CABO;;Privada com fins lucrativos;Faculdade;Nordeste;Pernambuco;2602902
4742;Faculdade Uninassau Olinda - Nassau Olinda;;Privada sem fins lucrativos;Faculdade;Nordeste;Pernambuco;2609600
4153;Centro Universitário Joaquim Nabuco de Recife;UNINABUCO RECIFE;Privada com fins lucrativos;Centro Universitário;Nordeste;Pernambuco;2611606
4135;FACULDADE UNINASSAU MANAUS;;Privada com fins lucrativos;Faculdade;Norte;Amazonas;1302603
4118;Centro Universitário Joaquim Nabuco de Paulista;UNINABUCO PAULISTA;Privada com fins lucrativos;Centro Universitário;Nordeste;Pernambuco;2610707
1504;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ;UNINASSAU MACEIÓ;Privada sem fins lucrativos;Centro Universitário;Nordeste;Alagoas;2704302
18648;Faculdade Uninassau Arapiraca;;Privada com fins lucrativos;Faculdade;Nordeste;Alagoas;2700300
2885;Faculdade Univeritas Universus Veritas de Belo Horizonte - Veritas BH;;Privada sem fins lucrativos;Faculdade;Sudeste;Minas Gerais;3106200
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;Centro Universitário;Nordeste;Pernambuco;2611606
19335;FACULDADE UNIVERITAS UNIVERSUS VERITAS ANÁPOLIS;VERITAS ANÁPOLIS;Privada com fins lucrativos;Faculdade;Centro-Oeste;Goiás;5201108
18671;FACULDADE DA AMAZÔNIA DE PORTO VELHO;;Privada com fins lucrativos;Faculdade;Norte;Rondônia;1100205
19844;FACULDADE UNINASSAU SOBRAL;;Privada com fins lucrativos;Faculdade;Nordeste;Ceará;2312908
19334;Faciuldade Uninassau Brasília;Nassau Brasília;Privada com fins lucrativos;Faculdade;Centro-Oeste;Distrito Federal;5300108
18075;FACULDADE UNINASSAU JABOATÃO DOS GUARARAPES;UNINASSAU;Privada com fins lucrativos;Faculdade;Nordeste;Pernambuco;2607901
18652;FACULDADE UNINASSAU JUAZEIRO DO NORTE;;Privada com fins lucrativos;Faculdade;Nordeste;Ceará;2307304
18653;Faculdade Uninassau Garanhuns;Nassau Garanhuns;Privada com fins lucrativos;Faculdade;Nordeste;Pernambuco;2606002
18651;Unama Faculdade da Amazônia de Boa Vista;UNAMA;Privada com fins lucrativos;Faculdade;Norte;Roraima;1400100
18650;UNAMA FACULDADE DA AMAZÔNIA DE RIO BRANCO;FMN RIO BRANCO;Privada com fins lucrativos;Faculdade;Norte;Acre;1200401
18649;FACULDADE UNINASSAU MOSSORÓ;;Privada com fins lucrativos;Faculdade;Nordeste;Rio Grande do Norte;2408003
18643;FACULDADE UNINASSAU MARACANAÚ;;Privada com fins lucrativos;Faculdade;Nordeste;Ceará;2307650
18023;FACULDADE UNINASSAU PETROLINA;;Privada com fins lucrativos;Faculdade;Nordeste;Pernambuco;2611101
17816;FACULDADE UNINASSAU FEIRA DE SANTANA;;Privada com fins lucrativos;Faculdade;Nordeste;Bahia;2910800
2836;FACULDADE SUL DA AMÉRICA;SULDAMÉRICA;Privada com fins lucrativos;Faculdade;Centro-Oeste;Goiás;5201405
2843;FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA;FCMS/JF;Privada com fins lucrativos;Faculdade;Sudeste;Minas Gerais;3136702
22121;Faculdade de Ciências Médicas de Três Rios;FCM/TR;Privada com fins lucrativos;Faculdade;Sudeste;Rio de Janeiro;3306008
2845;FACULDADE REINALDO RAMOS;FARR;Privada com fins lucrativos;Faculdade;Nordeste;Paraíba;2504009
2849;ESCOLA SUPERIOR DOM HELDER CÂMARA;ESDHC;Privada sem fins lucrativos;Faculdade;Sudeste;Minas Gerais;3106200
2855;FACULDADE SÃO FRANCISCO DE ASSIS;UNIFIN;Privada com fins lucrativos;Faculdade;Sul;Rio Grande do Sul;4314902
2859;FACULDADE DE BELÉM;FABEL;Privada com fins lucrativos;Faculdade;Norte;Pará;1501402
2870;FACULDADE SERRA DO CARMO;FASEC;Privada com fins lucrativos;Faculdade;Norte;Tocantins;1721000
2886;FACULDADE ZUMBI DOS PALMARES;FAZP;Privada sem fins lucrativos;Faculdade;Sudeste;São Paulo;3550308
2896;FACULDADE SATC;FASATC;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4204608
2903;FACULDADE CONCÓRDIA;FACC;Privada com fins lucrativos;Faculdade;Sul;Santa Catarina;4204301
3992;FACULDADE JK - PLANO PILOTO;-;Privada com fins lucrativos;Faculdade;Centro-Oeste;Distrito Federal;5300108
2904;FACULDADE JK - GUARÁ;JK;Privada com fins lucrativos;Faculdade;Centro-Oeste;Distrito Federal;5300108
2910;FACULDADE VERDE NORTE;FAVENORTE;Privada com fins lucrativos;Faculdade;Sudeste;Minas Gerais;3141009
2915;FACULDADE CIDADE DE PATOS DE MINAS;FPM;Privada sem fins lucrativos;Faculdade;Sudeste;Minas Gerais;3148004
2918;FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA REUNIDA;FESAR;Privada com fins lucrativos;Faculdade;Norte;Pará;1506138
2613;Centro Universitário Meta;;Privada com fins lucrativos;Centro Universitário;Norte;Acre;1200401
2935;FACULDADE DE TALENTOS HUMANOS;FACTHUS;Privada com fins lucrativos;Faculdade;Sudeste;Minas Gerais;3170107
2949;FACULDADE DO BAIXO PARNAÍBA;FAP;Privada com fins lucrativos;Faculdade;Nordeste;Maranhão;2103208
2950;Centro Universitário FADERGS;FADERGS;Privada com fins lucrativos;Centro Universitário;Sul;Rio Grande do Sul;4314902
2961;FACULDADE DO PANTANAL MATOGROSSENSE;FAPAN;Privada com fins lucrativos;Faculdade;Centro-Oeste;Mato Grosso;5102504
2964;FACULDADE PROJEÇÃO DO GUARÁ;;Privada sem fins lucrativos;Faculdade;Centro-Oeste;Distrito Federal;5300108
2971;FACULDADE BARRETOS;FB;Privada com fins lucrativos;Faculdade;Sudeste;São Paulo;3505500
3004;INSTITUTO DE ENSINO SUPERIOR SANTA CECÍLIA;IESC;Privada com fins lucrativos;Faculdade;Nordeste;Alagoas;2700300
3008;FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS;FACULDADE INPG - SJC;Privada com fins lucrativos;Faculdade;Sudeste;São Paulo;3549904
3012;FAJOPA - FACULDADE JOÃO PAULO II;FAJOPA;Privada sem fins lucrativos;Faculdade;Sudeste;São Paulo;3529005
3020;FACULDADE SANTA RITA DE CÁSSIA;IFASC;Privada com fins lucrativos;Faculdade;Centro-Oeste;Goiás;5211503
3029;FACULDADE DA AMAZÔNIA;FAAM;Privada com fins lucrativos;Faculdade;Norte;Pará;1500800
3034;FACULDADE DELTA;FACDELTA;Privada com fins lucrativos;Faculdade;Nordeste;Bahia;2927408
3039;FACULDADE VASCONCELLOS & SOUZA;;Privada sem fins lucrativos;Faculdade;Sudeste;Espírito Santo;3200409
