,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
1250,7,2629,2,0,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0
1252,9,2636,1,3,12,0.0,1.0,0.0,2.0,1.0,2.0,3.0,2.6666666666666665,1.3333333333333333,1.3333333333333333
1254,4,2647,1,4,19,2.0,4.0,1.0,0.0,0.0,4.5,6.0,3.75,3.0,3.0
1255,2,2652,1,3,7,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1256,12,2676,2,2,3,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
1258,14,2687,1,4,19,0.0,1.0,2.0,1.0,0.0,1.2857142857142858,1.9285714285714288,1.7142857142857142,0.8571428571428571,0.8571428571428571
1259,2,2688,1,3,25,2.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,1.0,1.0
1260,1,2702,1,2,26,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1261,3,2703,2,3,12,0.0,0.0,1.0,0.0,0.0,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333
1262,9,2723,2,1,16,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.4444444444444444,0.4444444444444444
1263,10,2724,1,1,9,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0
1265,5,2741,2,2,26,0.0,0.0,2.0,0.0,0.0,2.4,3.4,3.0,1.6,1.6
1267,16,2745,1,2,15,4.0,0.0,1.0,0.0,0.0,1.5,1.75,1.5,1.0,1.0
1270,13,2755,1,4,23,1.0,0.0,3.0,0.0,0.0,1.8461538461538465,2.4615384615384617,2.4615384615384617,1.2307692307692308,1.2307692307692308
1271,14,2756,1,0,8,20.0,5.0,18.0,6.0,0.0,4.285714285714286,4.285714285714286,5.7142857142857135,2.8571428571428568,2.8571428571428568
1272,5,2763,1,3,12,1.0,0.0,1.0,0.0,0.0,2.0,2.8,2.4,1.4,1.4
1273,16,2766,1,4,23,0.0,0.0,1.0,0.0,0.0,0.0625,0.1875,0.3125,0.0625,0.0625
1274,12,2770,1,0,8,1.0,1.0,0.0,1.0,0.0,1.5,1.75,1.75,1.0,1.0
1276,26,2773,1,2,2,19.0,5.0,19.0,10.0,0.0,4.384615384615385,4.384615384615385,5.8461538461538485,2.923076923076924,2.923076923076924
1277,18,2774,2,3,25,1.0,2.0,2.0,1.0,0.0,1.3333333333333333,2.0,1.7777777777777777,0.8888888888888888,0.8888888888888888
1281,5,2787,2,4,13,0.0,1.0,0.0,0.0,0.0,0.4,0.2,0.4,0.2,0.2
1282,6,2791,1,0,10,2.0,2.0,7.0,0.0,0.0,5.0,5.0,6.666666666666668,3.333333333333333,3.333333333333333
1284,16,2794,1,0,10,22.0,4.0,19.0,9.0,0.0,5.25,5.25,7.0,3.5,3.5
1285,15,2796,1,0,8,0.0,0.0,1.0,0.0,0.0,0.4,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.26666666666666666
1288,1,2806,2,3,25,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
1290,9,2811,2,3,25,0.0,0.0,1.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
1291,7,2814,1,3,25,3.0,1.0,6.0,3.0,0.0,5.142857142857143,5.142857142857143,6.0,3.4285714285714284,3.4285714285714284
1294,3,2827,1,1,17,8.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.333333333333333,2.0,1.0,1.0
1295,2,2831,2,4,13,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5
1296,6,2832,1,1,17,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0
1297,86,2835,1,1,16,13.0,3.0,3.0,1.0,0.0,0.0,0.05813953488372092,0.26744186046511625,0.0,0.0
1300,5,2843,1,3,12,3.0,3.0,0.0,8.0,0.0,4.0,4.0,4.0,2.0,2.0
1302,1,2849,2,3,12,1.0,0.0,5.0,0.0,0.0,6.0,7.0,5.0,4.0,4.0
1303,13,2855,1,4,19,1.0,2.0,1.0,0.0,0.0,0.9230769230769232,0.9230769230769232,0.9230769230769232,0.6923076923076923,0.6923076923076923
1308,8,2886,2,3,25,0.0,1.0,1.0,0.0,0.0,1.5,2.0,1.75,1.0,1.0
1318,19,2915,2,3,12,1.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.4736842105263158,0.42105263157894735,0.21052631578947367,0.21052631578947367
1320,9,2918,1,2,15,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.4444444444444444
1322,13,2935,1,3,12,1.0,4.0,1.0,3.0,1.0,2.3076923076923075,2.3076923076923075,2.3076923076923075,1.5384615384615383,1.5384615384615383
1323,25,2944,1,1,4,18.0,8.0,29.0,12.0,0.0,3.84,3.84,5.12,2.56,2.56
1325,102,2950,1,4,19,0.0,3.0,0.0,0.0,0.0,0.17647058823529413,0.2647058823529412,0.2352941176470588,0.1176470588235294,0.1176470588235294
1329,8,2971,1,3,25,1.0,0.0,1.0,0.0,0.0,1.0,1.125,0.875,0.625,0.625
1330,9,2973,1,0,10,2.0,2.0,8.0,1.0,0.0,4.666666666666667,4.666666666666667,6.222222222222222,3.111111111111111,3.111111111111111
1331,5,2974,1,0,10,5.0,3.0,12.0,5.0,0.0,4.8,4.8,6.4,3.2,3.2
1333,10,3008,1,3,25,0.0,0.0,2.0,0.0,0.0,0.4,0.2,0.2,0.2,0.2
1337,27,3034,1,1,4,27.0,10.0,25.0,13.0,0.0,4.0,4.0,5.333333333333333,2.6666666666666665,2.6666666666666665
1338,1,3039,2,3,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1341,40,3099,1,1,14,3.0,0.0,5.0,1.0,0.0,1.05,1.575,1.4,0.7,0.7
1344,24,3149,1,3,12,23.0,9.0,27.0,14.0,0.0,4.0,4.0,5.333333333333333,2.6666666666666665,2.6666666666666665
1345,59,3151,2,4,23,25.0,13.0,21.0,7.0,2.0,2.847457627118644,4.254237288135593,3.7966101694915255,1.8983050847457628,1.8983050847457628
1348,4,3159,2,4,23,1.0,2.0,0.0,1.0,0.0,2.5,2.0,2.75,1.5,1.5
1349,25,3160,4,1,1,2.0,2.0,2.0,0.0,2.0,0.08,0.24,0.32,0.04,0.04
1350,16,3161,4,1,16,17.0,3.0,9.0,1.0,0.0,0.5,0.5625,1.9375,0.4375,0.4375
1351,55,3162,4,4,23,23.0,11.0,4.0,1.0,1.0,0.5454545454545454,0.5454545454545454,0.7818181818181819,0.34545454545454546,0.34545454545454546
1352,20,3163,4,3,20,9.0,6.0,8.0,6.0,1.0,0.75,0.75,2.05,0.45,0.45
1353,61,3164,4,0,10,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1354,28,3165,4,3,12,16.0,17.0,31.0,6.0,16.0,1.4642857142857142,1.4285714285714286,2.0,0.8928571428571429,0.8928571428571429
1355,9,3170,1,4,23,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.8888888888888888,0.4444444444444444,0.4444444444444444
1356,3,3171,2,4,19,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333
1357,247,3172,3,2,3,3.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1361,18,3183,4,1,24,11.0,4.0,4.0,0.0,1.0,1.2777777777777777,1.3888888888888888,1.6111111111111112,0.7777777777777778,0.7777777777777778
1362,14,3184,4,2,22,9.0,4.0,4.0,1.0,0.0,0.2857142857142857,0.2857142857142857,1.0714285714285714,0.14285714285714285,0.14285714285714285
1363,2,3186,1,3,25,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
1364,45,3188,4,3,12,32.0,126.0,15.0,4.0,0.0,1.4666666666666666,1.2666666666666666,1.7555555555555555,0.9333333333333332,0.9333333333333332
1365,54,3189,4,3,12,5.0,2.0,8.0,5.0,0.0,0.7407407407407407,0.9259259259259259,0.9444444444444444,0.4814814814814815,0.4814814814814815
1366,2,3192,1,1,14,0.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,2.0,2.0
1367,15,3193,1,4,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.0,0.0
