,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
2045,4,15680,Sub-Nacional,Sudeste,Ṣo Paulo,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25
2046,4,15682,Sub-Nacional,Sudeste,Ṣo Paulo,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,5,15687,Sub-Nacional,Sudeste,Ṣo Paulo,0.0,2.0,0.0,0.0,0.0,0.6,0.8,0.6,0.4,0.4
2048,3,15688,Sub-Nacional,Sudeste,Ṣo Paulo,2.0,1.0,1.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2049,4,15689,Sub-Nacional,Sudeste,Ṣo Paulo,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
2050,5,15693,Sub-Nacional,Sudeste,Ṣo Paulo,1.0,0.0,1.0,1.0,0.0,0.8,0.4,0.4,0.4,0.4
2051,5,15695,Sub-Nacional,Sudeste,Ṣo Paulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,5,15696,Sub-Nacional,Sudeste,Ṣo Paulo,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,2,15697,Sub-Nacional,Sudeste,Ṣo Paulo,0.0,0.0,3.0,0.0,0.0,6.0,9.0,7.5,4.0,4.0
2054,2,15704,Sub-Nacional,Sudeste,Ṣo Paulo,0.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0
2055,3,15708,Sub-Nacional,Sudeste,Ṣo Paulo,1.0,1.0,2.0,0.0,0.0,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
2056,4,15709,Sub-Nacional,Sudeste,Ṣo Paulo,3.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,4,15714,Sub-Nacional,Sudeste,Ṣo Paulo,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,5,15715,Sub-Nacional,Sudeste,Ṣo Paulo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,5,15745,Sub-Nacional,Sudeste,Ṣo Paulo,0.0,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0
2060,4,15746,Sub-Nacional,Sudeste,Ṣo Paulo,0.0,0.0,2.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5
2061,4,15752,Sub-Nacional,Sudeste,Ṣo Paulo,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2062,2,15753,Sub-Nacional,Sudeste,Ṣo Paulo,1.0,1.0,0.0,1.0,0.0,2.5,1.5,1.5,1.5,1.5
2063,7,15757,Sub-Nacional,Sudeste,Ṣo Paulo,1.0,1.0,1.0,0.0,0.0,2.5714285714285716,2.5714285714285716,2.142857142857143,1.7142857142857142,1.7142857142857142
