id_ies,cod,nome,categoria,sigla,tipo_organizacao
962,1620,"FACULDADE SANTA RITA","Privada com fins lucrativos",FASAR,Faculdade
963,11586,"FACULDADES NETWORK - CAMPUS SUMARÉ","Privada com fins lucrativos",,Faculdade
964,1621,"FACULDADE NETWORK","Privada com fins lucrativos",NWK,Faculdade
965,1628,"FACULDADE DE CIÊNCIAS HUMANAS DE AGUAÍ","Privada com fins lucrativos",FACHA,Faculdade
966,1639,"FACULDADE HÉLIO ROCHA","Privada com fins lucrativos",FHR,Faculdade
967,22093,"Faculdade AGES de Medicina","Privada com fins lucrativos","Faculdade AGES",Faculdade
968,1640,"CENTRO UNIVERSITÁRIO AGES","Privada com fins lucrativos",UniAGES,"Centro Universitário"
969,18296,"Faculdade AGES de Tucano","Privada com fins lucrativos","Faculdade AGES",Faculdade
970,1641,"CENTRO UNIVERSITÁRIO SOCIAL DA BAHIA","Privada sem fins lucrativos",UNISBA,"Centro Universitário"
971,1643,"FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA","Privada sem fins lucrativos",FAT,Faculdade
972,1646,"FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARAÍSO","Pública Municipal",FECIPAR,Faculdade
973,1647,"FACULDADE DE ENSINO E CULTURA DO CEARÁ","Privada com fins lucrativos",FAECE,Faculdade
974,2240,"FACULDADE DE FORTALEZA","Privada com fins lucrativos",FAFOR,Faculdade
975,12847,"FACULDADE EDUCACIONAL DE FRANCISCO BELTRÃO","Privada com fins lucrativos",FEFB,Faculdade
976,1657,"CENTRO UNIVERSITÁRIO UNISEP","Privada com fins lucrativos",,"Centro Universitário"
977,1658,"CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA","Privada com fins lucrativos",UNIGRANDE,"Centro Universitário"
978,1660,"CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA","Privada com fins lucrativos","ESTÁCIO BRASÍLIA","Centro Universitário"
979,1663,"FACULDADE ARAGUAIA","Privada com fins lucrativos",FARA,Faculdade
