CODIGO_IES,NOME_IES,TIPO_CATEGORIA_ADM,SIGLA_IES,TIPO_ORG_ACADEMICA
14860,FACULDADE TECNOLÓGICA DENTAL CEEO,Privada com fins lucrativos,ESD-CEEO,Faculdade
13897,FACULDADE LABORO,Privada com fins lucrativos,Laboro,Faculdade
14509, INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA BAIANO,Pública Federal,IFBAIANO,Instituto Federal de Educaçao Ciência e Tecnologia
14727,FACULDADE PROGRESSO,Privada com fins lucrativos,FAP,Faculdade
14622,FACULDADES INTEGRADAS DE SERGIPE,Privada com fins lucrativos,FISE,Faculdade
15451,Faculdade de Direito de Ipatinga,Privada sem fins lucrativos,FADIPA,Faculdade
14715,FACULDADE PIAGET,Privada sem fins lucrativos,FACPIAGET,Faculdade
15236,FACULDADE DE TECNOLOGIA ALCIDES MAYA,Privada com fins lucrativos,AMTEC,Faculdade
14724, INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARANA,Pública Federal,IFPR,Instituto Federal de Educaçao Ciência e Tecnologia
1807, INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO CEARA,Pública Federal,IFCE,Instituto Federal de Educaçao Ciência e Tecnologia
5,UNIVERSIDADE FEDERAL DO PIAUÍ,Pública Federal,UFPI,Universidade
