NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
16,3936,Privada com fins lucrativos,Sudeste,São Paulo,10.0,4.0,6.0,4.0,0.0,4125,4125,5.5,2.75,2.75
14,3937,Privada com fins lucrativos,Sudeste,São Paulo,5.0,1.0,4.0,3.0,0.0,3.857142857142857,3.857142857142857,5.142857142857143,2.5714285714285716,2.5714285714285716
2,3939,,,,,,,,,,,,,
5,3940,,,,,,,,,,,,,
4,3946,,,,,,,,,,,,,
2,3947,,,,,,,,,,,,,
19,3948,Privada sem fins lucrativos,Sul,Santa Catarina,0.0,2.0,0.0,1.0,0.0,0.21052631578947367,0.21052631578947367,0.3157894736842105,0.10526315789473684,0.10526315789473684
4,3954,Privada sem fins lucrativos,Sudeste,Minas Gerais,0.0,1.0,0.0,0.0,0.0,0.75,0.5,1.0,0.5,0.5
6,3955,,,,,,,,,,,,,
16,3962,Privada sem fins lucrativos,Nordeste,Bahia,0.0,0.0,0.0,1.0,0.0,0.1875,125,125,125,125
33,3966,Privada sem fins lucrativos,Sudeste,Minas Gerais,2.0,3.0,3.0,1.0,0.0,1.4545454545454546,1.9393939393939394,1.9393939393939394,0.9696969696969697,0.9696969696969697
8,3972,Privada sem fins lucrativos,Sudeste,Minas Gerais,0.0,0.0,1.0,0.0,0.0,375,625,625,0.25,0.25
30,3974,Pública Municipal,Centro-Oeste,Goiás,13.0,6.0,9.0,0.0,0.0,0.03333333333333333,0.03333333333333333,1.4,0.03333333333333333,0.03333333333333333
9,3977,,,,,,,,,,,,,
3,3978,,,,,,,,,,,,,
5,3980,,,,,,,,,,,,,
22,3983,Privada sem fins lucrativos,Sudeste,Minas Gerais,5.0,1.0,13.0,17.0,1.0,3.8636363636363638,4.636363636363637,4.636363636363637,2.3181818181818183,2.3181818181818183
37,3984,Pública Federal,Nordeste,Pernambuco,40.0,6.0,19.0,6.0,1.0,0.40540540540540543,0.5135135135135135,1.1081081081081081,0.24324324324324326,0.24324324324324326
58,3985,Privada sem fins lucrativos,Sudeste,São Paulo,7.0,5.0,9.0,12.0,5.0,1.6724137931034482,1.9137931034482758,1.9482758620689655,1.0517241379310345,1.0517241379310345
6,3986,,,,,,,,,,,,,
12,3987,Privada com fins lucrativos,Centro-Oeste,Goiás,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.25,0.3333333333333333,0.16666666666666666,0.16666666666666666
3,3992,,,,,,,,,,,,,
8,3996,Privada sem fins lucrativos,Nordeste,Pernambuco,1.0,3.0,0.0,1.0,0.0,2.25,3375,3.0,1.5,1.5
24,3998,Privada com fins lucrativos,Sudeste,Rio de Janeiro,0.0,2.0,11.0,7.0,1.0,2.5,2.0,2.5,1.5,1.5
15,4000,Privada com fins lucrativos,Sudeste,São Paulo,0.0,0.0,1.0,0.0,0.0,0.4,0.6,0.5333333333333333,0.26666666666666666,0.26666666666666666
4,4006,Privada sem fins lucrativos,Sul,Rio Grande do Sul,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.75,0.25,0.25
4,4007,Privada com fins lucrativos,Sudeste,São Paulo,0.0,1.0,0.0,0.0,0.0,1.5,1.75,1.5,1.0,1.0
7,4009,,,,,,,,,,,,,
28,4010,Privada sem fins lucrativos,Sul,Rio Grande do Sul,2.0,0.0,3.0,0.0,0.0,1.0714285714285714,1.4285714285714286,1.25,0.7142857142857143,0.7142857142857143
10,4013,Privada com fins lucrativos,Sudeste,São Paulo,6.0,5.0,8.0,6.0,0.0,3.6,3.6,4.8,2.4,2.4
2,4016,Pública Federal,Sudeste,Rio de Janeiro,8.0,349.0,5.0,0.0,1.0,6.0,9.0,8.0,4.0,4.0
40,4017,Privada com fins lucrativos,Sudeste,São Paulo,6.0,2.0,3.0,0.0,0.0,1.05,1.4,1.4,0.7,0.7
6,4020,,,,,,,,,,,,,
4,4021,Pública Estadual,Sudeste,São Paulo,1.0,0.0,1.0,0.0,0.0,2.0,1.5,1.0,1.0,1.0
5,4022,Pública Estadual,Sudeste,São Paulo,0.0,1.0,1.0,0.0,0.0,0.4,0.2,0.2,0.2,0.2
4,4023,Pública Estadual,Sudeste,São Paulo,0.0,1.0,2.0,0.0,0.0,1.5,1.0,1.0,1.0,1.0
4,4024,Pública Estadual,Sudeste,São Paulo,1.0,0.0,6.0,0.0,0.0,3.0,3.75,2.25,2.25,2.25
3,4025,Pública Estadual,Sudeste,São Paulo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4026,Pública Estadual,Sudeste,São Paulo,1.0,0.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0
