NUM_CURSOS,CODIGO_IES,DEFICIENCIA_FISICA,DEFICIENCIA_VISUAL,DEFICIENCIA_AUDITIVA,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA,CLASS
1,22144,1.0,1.0,0.0,1.0,0.0,18.0,18.0,24.0,12.0,12.0,0
1,22145,1.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,0
1,22149,1.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,3
1,22151,1.0,1.0,2.0,0.0,0.0,24.0,24.0,32.0,16.0,16.0,0
1,22153,0.0,1.0,1.0,3.0,0.0,12.0,12.0,16.0,8.0,8.0,2
2,22170,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,2.0,2.0,0
3,22175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2
4,22176,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.5,1.0,1.0,1
2,22204,1.0,0.0,0.0,0.0,0.0,3.0,4.5,4.0,2.0,2.0,0
1,22225,1.0,1.0,0.0,0.0,0.0,12.0,12.0,16.0,8.0,8.0,1
1,22226,0.0,1.0,0.0,1.0,0.0,6.0,6.0,8.0,4.0,4.0,3
1,22229,1.0,0.0,0.0,1.0,0.0,12.0,12.0,16.0,8.0,8.0,3
3,22312,2.0,1.0,1.0,0.0,0.0,8.0,11.333333333333334,10.333333333333334,5.333333333333333,5.333333333333333,0
4,22316,1.0,2.0,1.0,0.0,0.0,6.0,8.5,7.75,4.0,4.0,0
1,22319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1,22326,0.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,1
2,22736,0.0,1.0,0.0,0.0,0.0,0.5,1.5,2.0,0.5,0.5,1
19,23410,1.0,2.0,0.0,0.0,0.0,0.1578947368421052,0.3157894736842105,0.3684210526315789,0.1578947368421052,0.1578947368421052,2
2,23438,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2,23700,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1
2,23705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1,23713,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1,23867,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,3
1,24672,1.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,2.0,2
